s	o
https://cso.kmi.open.ac.uk/topics/model-checking_techniques	http://rdf.freebase.com/ns/m.01vjk8
https://cso.kmi.open.ac.uk/topics/model_checker	http://rdf.freebase.com/ns/m.01vjk8
https://cso.kmi.open.ac.uk/topics/probabilistic_model_checking	http://rdf.freebase.com/ns/m.01vjk8
https://cso.kmi.open.ac.uk/topics/model_checkers	http://rdf.freebase.com/ns/m.01vjk8
https://cso.kmi.open.ac.uk/topics/model_checking	http://yago-knowledge.org/resource/Model_checking
https://cso.kmi.open.ac.uk/topics/model-checking	http://yago-knowledge.org/resource/Model_checking
https://cso.kmi.open.ac.uk/topics/symbolic_model_checking	http://yago-knowledge.org/resource/Model_checking
https://cso.kmi.open.ac.uk/topics/model_checking_problem	http://yago-knowledge.org/resource/Model_checking
https://cso.kmi.open.ac.uk/topics/model_checking_algorithm	http://yago-knowledge.org/resource/Model_checking
https://cso.kmi.open.ac.uk/topics/model-checking_techniques	http://yago-knowledge.org/resource/Model_checking
